EXPOCODE;SECT_ID;STNNBR;CASTNO;BTLNBR;DATE;TIME;LATITUDE;LONGITUDE;DEPTH_m;CTDPRS_dbar;CTDTMP_its-90;CTDSAL_pss-78;CTDSAL_FLAG_W;OXYGEN_umol_kg;OXYGEN_FLAG_W;SILCAT_umol_kg;SILCAT_FLAG_W;NITRAT_umol_kg;NITRAT_FLAG_W;PHSPHT_umol_kg;PHSPHT_FLAG_W;TCARBN_umol_kg;TCARBN_FLAG_W;ALKALI_umol_kg;ALKALI_FLAG_W
  58P320011031;  OWSM;4902;1;1;20011124;0;66;2;2100;0;8;35.146;2;-999;9;3.23;0;9.29;0;0.67;0;2118.6;2;-999;9
  58P320011031;  OWSM;4902;1;2;20011124;0;66;2;2100;10;7.87;35.131;2;279.6;0;3.29;0;9.32;0;0.67;0;2119.1;2;-999;9
  58P320011031;  OWSM;4902;1;3;20011124;0;66;2;2100;25;7.87;35.133;2;276.6;0;3.24;0;9.28;0;0.65;0;2118.2;2;-999;9
  58P320011031;  OWSM;4902;1;4;20011124;0;66;2;2100;50;7.87;35.135;2;279.2;0;3.24;0;9.3;0;0.67;0;2118.6;2;-999;9
  58P320011031;  OWSM;4902;1;5;20011124;0;66;2;2100;75;7.84;35.13;2;277.7;0;3.24;0;9.3;0;0.67;0;2120.2;2;-999;9
  58P320011031;  OWSM;4902;1;6;20011124;0;66;2;2100;100;7.67;35.129;2;279.3;0;3.93;0;10.08;0;0.68;0;2119.7;2;-999;9
  58P320011031;  OWSM;4902;1;7;20011124;0;66;2;2100;150;7.12;35.166;2;284.1;0;3.74;0;9.52;3;0.69;0;2140;2;-999;9
  58P320011031;  OWSM;4931;1;1;20011220;0;66;2;2100;0;7.2;35.187;2;-999;9;4.42;0;10.82;0;0.77;0;2132;2;-999;9
  58P320011031;  OWSM;4931;1;2;20011220;0;66;2;2100;10;7.36;35.183;2;-999;9;4.38;0;10.99;0;0.75;0;2132.4;2;-999;9
  58P320011031;  OWSM;4931;1;3;20011220;0;66;2;2100;25;7.36;35.179;2;-999;9;4.38;0;10.93;0;0.75;0;2131.6;2;-999;9
  58P320011031;  OWSM;4931;1;4;20011220;0;66;2;2100;51;7.38;35.175;2;286.6;0;4.31;0;10.74;0;0.74;0;2131.4;2;-999;9
  58P320011031;  OWSM;4931;1;5;20011220;0;66;2;2100;76;7.42;35.151;2;-999;9;4.16;0;10.58;0;0.74;0;2130.8;2;-999;9
  58P320011031;  OWSM;4931;1;6;20011220;0;66;2;2100;101;7.45;35.128;2;289;0;4.2;0;10.6;0;0.73;0;2131.8;2;-999;9
  58P320011031;  OWSM;4931;1;7;20011220;0;66;2;2100;152;6.8;35.104;2;292.8;0;3.96;0;10.44;3;0.72;3;2130.2;2;-999;9
  58P320011031;  OWSM;4928;1;1;20020118;0;66;2;2100;10;7.4;35.179;2;287.1;0;4.67;0;11.84;0;0.75;0;2131.8;2;-999;9
