Station,Date,Depth_m,Temperature_C,Salinity,Calibrated_Temperature_C,Calibrated_Salinity
Ytre_Utsira,2010-01-01,1,4.625,28.952,4.665,28.864
Ytre_Utsira,2010-01-01,5,5.035,32.645,5.075,32.557
Ytre_Utsira,2010-01-01,10,5.659,33.06,5.699,32.972
Ytre_Utsira,2010-01-01,20,6.689,33.62,6.729,33.532
Ytre_Utsira,2010-01-01,30,7.339,34.07,7.378,33.982
Ytre_Utsira,2010-01-01,50,8.23,34.52,8.27,34.432
Ytre_Utsira,2010-01-01,75,8.458,34.74,8.498,34.652
Ytre_Utsira,2010-01-01,100,8.29,34.91,8.33,34.822
Ytre_Utsira,2010-01-01,125,8.576,35.069,8.616,34.981
Ytre_Utsira,2010-01-01,150,8.599,35.172,8.639,35.084
Ytre_Utsira,2010-01-01,200,8.194,35.181,8.234,35.093
Ytre_Utsira,2010-01-01,250,7.991,35.31,8.031,35.222
Ytre_Utsira,2010-02-01,1,4.25,32.62,4.32,32.526
Ytre_Utsira,2010-02-01,5,4.261,32.651,4.331,32.557
Ytre_Utsira,2010-02-01,10,4.282,32.705,4.352,32.611
Ytre_Utsira,2010-02-01,20,4.533,32.85,4.603,32.756
Ytre_Utsira,2010-02-01,30,5.26,33.155,5.329,33.061
Ytre_Utsira,2010-02-01,50,6.306,33.762,6.376,33.668
Ytre_Utsira,2010-02-01,75,7.588,34.208,7.658,34.114
Ytre_Utsira,2010-02-01,100,7.976,34.65,8.046,34.556
Ytre_Utsira,2010-02-01,125,8.58,35.005,8.65,34.911
Ytre_Utsira,2010-02-01,150,8.565,35.19,8.635,35.096
Ytre_Utsira,2010-02-01,200,8.187,35.275,8.257,35.181
Ytre_Utsira,2010-02-01,250,7.587,35.296,7.657,35.202
Ytre_Utsira,2010-03-01,1,4.078,28.902,4.093,28.789
Ytre_Utsira,2010-03-01,5,4.08,32.087,4.095,31.974
Ytre_Utsira,2010-03-01,10,4.368,32.39,4.384,32.277
Ytre_Utsira,2010-03-01,20,4.82,32.81,4.836,32.697
Ytre_Utsira,2010-03-01,30,5.983,34.017,5.998,33.905
Ytre_Utsira,2010-03-01,50,6.426,34.355,6.441,34.242
Ytre_Utsira,2010-03-01,75,7.731,34.804,7.746,34.691
Ytre_Utsira,2010-03-01,100,7.697,35.019,7.712,34.906
Ytre_Utsira,2010-03-01,125,7.589,35.085,7.604,34.972
Ytre_Utsira,2010-03-01,150,7.824,35.214,7.839,35.101
Ytre_Utsira,2010-03-01,200,7.194,35.25,7.209,35.137
Ytre_Utsira,2010-03-01,250,6.818,35.25,6.833,35.137
Ytre_Utsira,2010-04-01,1,5.899,32.53,5.929,32.437
Ytre_Utsira,2010-04-01,5,5.831,32.562,5.861,32.469
Ytre_Utsira,2010-04-01,10,5.763,32.722,5.793,32.629
Ytre_Utsira,2010-04-01,20,5.791,33.045,5.821,32.952
Ytre_Utsira,2010-04-01,30,5.877,33.228,5.907,33.135
Ytre_Utsira,2010-04-01,50,6.134,33.83,6.164,33.737
Ytre_Utsira,2010-04-01,75,7.153,34.695,7.183,34.602
Ytre_Utsira,2010-04-01,100,7.332,34.95,7.362,34.857
Ytre_Utsira,2010-04-01,125,7.656,35.139,7.686,35.046
Ytre_Utsira,2010-04-01,150,7.541,35.22,7.571,35.127
Ytre_Utsira,2010-04-01,200,7.011,35.27,7.041,35.177
Ytre_Utsira,2010-04-01,250,6.321,35.265,6.341,35.212
Ytre_Utsira,2010-05-01,1,8.834,32.41,8.847,32.242
Ytre_Utsira,2010-05-01,5,8.642,32.547,8.655,32.379
Ytre_Utsira,2010-05-01,10,8.482,32.687,8.495,32.519
Ytre_Utsira,2010-05-01,20,7.563,32.987,7.576,32.819
Ytre_Utsira,2010-05-01,30,7.173,33.763,7.186,33.596
Ytre_Utsira,2010-05-01,50,6.897,34.52,6.911,34.352
Ytre_Utsira,2010-05-01,75,6.996,34.853,7.01,34.686
Ytre_Utsira,2010-05-01,100,7.352,35.103,7.366,34.936
Ytre_Utsira,2010-05-01,125,7.267,35.178,7.28,35.01
Ytre_Utsira,2010-05-01,150,7.194,35.23,7.207,35.063
Ytre_Utsira,2010-05-01,200,6.849,35.273,6.862,35.106
Ytre_Utsira,2010-05-01,250,6.454,35.32,6.464,35.151
Ytre_Utsira,2010-06-01,1,8.826,34.12,8.816,33.953
Ytre_Utsira,2010-06-01,5,8.651,34.124,8.641,33.957
Ytre_Utsira,2010-06-01,10,8.416,34.15,8.406,33.983
Ytre_Utsira,2010-06-01,20,8.108,34.25,8.098,34.083
Ytre_Utsira,2010-06-01,30,6.97,34.47,6.96,34.303
Ytre_Utsira,2010-06-01,50,6.956,34.75,6.946,34.583
Ytre_Utsira,2010-06-01,75,7.137,35.03,7.127,34.863
Ytre_Utsira,2010-06-01,100,7.137,35.145,7.127,34.978
Ytre_Utsira,2010-06-01,125,7.193,35.22,7.183,35.053
Ytre_Utsira,2010-06-01,150,7.08,35.25,7.07,35.083
Ytre_Utsira,2010-06-01,200,6.751,35.28,6.741,35.113
Ytre_Utsira,2010-06-01,250,6.468,35.317,6.458,35.15
Ytre_Utsira,2010-07-01,1,14.261,32.395,14.261,32.234
Ytre_Utsira,2010-07-01,5,12.897,33.277,12.897,33.116
Ytre_Utsira,2010-07-01,10,12.493,33.545,12.493,33.384
Ytre_Utsira,2010-07-01,20,8.161,34.05,8.161,33.889
Ytre_Utsira,2010-07-01,30,7.503,34.36,7.503,34.199
Ytre_Utsira,2010-07-01,50,6.739,34.68,6.739,34.519
Ytre_Utsira,2010-07-01,75,6.906,35.0,6.906,34.839
Ytre_Utsira,2010-07-01,100,7.053,35.19,7.053,35.029
Ytre_Utsira,2010-07-01,125,7.048,35.22,7.048,35.059
Ytre_Utsira,2010-07-01,150,6.932,35.25,6.932,35.089
Ytre_Utsira,2010-07-01,200,6.716,35.269,6.716,35.108
Ytre_Utsira,2010-08-01,1,17.555,21.17,17.555,21.063
Ytre_Utsira,2010-08-01,5,17.321,31.788,17.321,31.681
Ytre_Utsira,2010-08-01,10,17.276,31.855,17.276,31.748
Ytre_Utsira,2010-08-01,20,14.788,33.5,14.788,33.393
Ytre_Utsira,2010-08-01,30,12.484,33.78,12.484,33.673
Ytre_Utsira,2010-08-01,50,9.366,34.3,9.366,34.193
Ytre_Utsira,2010-08-01,75,8.186,34.64,8.186,34.533
Ytre_Utsira,2010-08-01,100,7.443,34.9,7.443,34.793
